name,n_tuples,n_attributes,p_num_var,p_cat_var,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features_0.9,p_correlated_features_0.8,p_correlated_features_0.7,p_correlated_features_0.6,p_correlated_features_0.5,max_pearson,min_pearson,avg_pearson,duplication,min_min,max_min,mean_min,min_max,max_max,mean_max,min_mean,max_mean,mean_mean,min_median,max_median,mean_median,min_std,max_std,mean_std,min_skewness,max_skewness,mean_skewness,min_kurtosis,max_kurtosis,mean_kurtosis,min_mad,max_mad,mean_mad,min_iqr,max_iqr,mean_iqr,min_constancy,max_constancy,mean_constancy,min_imbalance,max_imbalance,mean_imbalance,min_unalikeability,max_unalikeability,mean_unalikeability,min_min_char,max_min_char,mean_min_char,min_max_char,max_max_char,mean_max_char,min_mean_char,max_mean_char,mean_mean_char,min_std_char,max_std_char,mean_std_char,min_skewness_char,max_skewness_char,mean_skewness_char,min_kurtosis_char,max_kurtosis_char,mean_kurtosis_char,dimension,perc,model,score,impact
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,DecisionTree,0.171302019763222,0.765890181407134
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,LogisticRegression,0.194713384003143,0.8295776106439344
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,KNN,0.17719727091717302,0.8571174518932149
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,RandomForest,0.22751097667820502,0.8773875473704221
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,AdaBoost,0.074488285567517,0.7160023773884109
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.11970313622216901,0.37395259755805604,0.0007182188173330001,0.9892058065418851,8.713895711475047,2.5675758687549014e-05,2.808441770762698,4.047726863533594,0.8987135948954591,0.875,0.875,0.875,1.0,1.0,0.9888411056090631,0.9888411056090631,0.717611679441937,0.002394062724443,0.001,1.0,0.1446875,0.515,29.0,4.6,0.139464454976303,9.933684462532918,1.577098703739801,0.14,9.0,1.4570625,0.039014487733904,3.223783065821211,0.555270175060232,-0.7225472374252351,1.113701773965602,0.305464188373648,-0.128644358631569,3.688738915506672,0.911053891496133,0.025,2.0,0.35693749999999996,0.05,3.0,0.589375,0.368545712932259,0.368545712932259,0.368545712932259,1.178787878787878,1.178787878787878,1.178787878787878,0.6651029026471581,0.6651029026471581,0.6651029026471581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.9,SVC,0.14303756538286802,0.8888875398423638
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.130370015694411,0.421355039502034,0.0007182188173330001,0.74431529884124,6.512244694885079,1.869104864908926e-05,3.234153165502326,4.718271717969297,0.952921352673704,0.75,0.875,0.875,1.0,1.0,0.9872375525206181,0.9872375525206181,0.714284713814287,0.000239406272444,0.0,1.0,0.141875,0.515,29.0,4.599875,0.139118347895154,9.933684462532918,1.576025139981684,0.14,9.0,1.4554375,0.039209791596996,3.223783065821211,0.554564194285865,-0.6272966661753391,1.113701773965602,0.31132346575546604,-0.107104823876996,3.015494873823931,0.8100245282790021,0.025,2.0,0.35675,0.05,3.0,0.5893281250000001,0.372226787181594,0.372226787181594,0.372226787181594,1.193675889328063,1.193675889328063,1.193675889328063,0.6646622498573941,0.6646622498573941,0.6646622498573941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.8,DecisionTree,0.180125064744001,0.8053379563384074
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.130370015694411,0.421355039502034,0.0007182188173330001,0.74431529884124,6.512244694885079,1.869104864908926e-05,3.234153165502326,4.718271717969297,0.952921352673704,0.75,0.875,0.875,1.0,1.0,0.9872375525206181,0.9872375525206181,0.714284713814287,0.000239406272444,0.0,1.0,0.141875,0.515,29.0,4.599875,0.139118347895154,9.933684462532918,1.576025139981684,0.14,9.0,1.4554375,0.039209791596996,3.223783065821211,0.554564194285865,-0.6272966661753391,1.113701773965602,0.31132346575546604,-0.107104823876996,3.015494873823931,0.8100245282790021,0.025,2.0,0.35675,0.05,3.0,0.5893281250000001,0.372226787181594,0.372226787181594,0.372226787181594,1.193675889328063,1.193675889328063,1.193675889328063,0.6646622498573941,0.6646622498573941,0.6646622498573941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.8,LogisticRegression,0.193717447904613,0.8253344185634187
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.130370015694411,0.421355039502034,0.0007182188173330001,0.74431529884124,6.512244694885079,1.869104864908926e-05,3.234153165502326,4.718271717969297,0.952921352673704,0.75,0.875,0.875,1.0,1.0,0.9872375525206181,0.9872375525206181,0.714284713814287,0.000239406272444,0.0,1.0,0.141875,0.515,29.0,4.599875,0.139118347895154,9.933684462532918,1.576025139981684,0.14,9.0,1.4554375,0.039209791596996,3.223783065821211,0.554564194285865,-0.6272966661753391,1.113701773965602,0.31132346575546604,-0.107104823876996,3.015494873823931,0.8100245282790021,0.025,2.0,0.35675,0.05,3.0,0.5893281250000001,0.372226787181594,0.372226787181594,0.372226787181594,1.193675889328063,1.193675889328063,1.193675889328063,0.6646622498573941,0.6646622498573941,0.6646622498573941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.8,KNN,0.18578691836712702,0.8986662674977565
abalone,4177,9,0.8888888888888881,0.11111111111111101,0.130370015694411,0.421355039502034,0.0007182188173330001,0.74431529884124,6.512244694885079,1.869104864908926e-05,3.234153165502326,4.718271717969297,0.952921352673704,0.75,0.875,0.875,1.0,1.0,0.9872375525206181,0.9872375525206181,0.714284713814287,0.000239406272444,0.0,1.0,0.141875,0.515,29.0,4.599875,0.139118347895154,9.933684462532918,1.576025139981684,0.14,9.0,1.4554375,0.039209791596996,3.223783065821211,0.554564194285865,-0.6272966661753391,1.113701773965602,0.31132346575546604,-0.107104823876996,3.015494873823931,0.8100245282790021,0.025,2.0,0.35675,0.05,3.0,0.5893281250000001,0.372226787181594,0.372226787181594,0.372226787181594,1.193675889328063,1.193675889328063,1.193675889328063,0.6646622498573941,0.6646622498573941,0.6646622498573941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,completeness,0.8,RandomForest,0.217848337626064,0.8401239423221483
