name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_algorithm,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,DecisionTree,0.20995112226594062,0.21091188695288604,0.21058232152257117,0.21004474356061215,0.20996841983692183,0.21153402852947054,0.21124612475816693,0.2109421748136553
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,LogisticRegression,0.22003223677003195,0.2169558833787357,0.21755116065751984,0.21975760786344425,0.21978917782686203,0.22512333374106752,0.22346258605450073,0.2169558833787357
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,KNN,0.19387145315540896,0.1937069705662913,0.19395515809960193,0.19144786057613855,0.19140402640220486,0.19698440705231984,0.19360409839715528,0.1937069705662913
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,RandomForest,0.21650207035654784,0.21773348307869828,0.21709405978119123,0.2157956520158918,0.2156405759955365,0.21977642101938777,0.2202863717427951,0.21850252250771585
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,Sex,4177.0,0.5002875,0.36629999999999996,1.197025,0.001425,0.6649750000000001,1.095625,2.161625,1.0,0.0,,,1.0,1.0,SVC,0.16282420644281762,0.14130490404585094,0.16234935766408778,0.1615188862574636,0.16177707843150496,0.1528703421387474,0.15844160627124398,0.14130490404585094
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,DecisionTree,0.20945634470273886,0.20904068669125844,0.20642549239271404,0.20929090960254687,0.20927541497510388,0.2110893916919634,0.20963701105122418,0.20904068669125844
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2193267662153924,0.21654546817655115,0.21891422819378598,0.21997227632117522,0.21981990118786252,0.22418175119344919,0.22400503593491208,0.21654546817655115
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,KNN,0.19338565843094818,0.1898822914966903,0.18880775518955328,0.19028760207992618,0.19076143829844466,0.19563677066980134,0.19030516678313925,0.1898822914966903
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,RandomForest,0.218342651264466,0.21570936496358464,0.21278262103100432,0.21676161214957942,0.2180618065764609,0.2193152670597574,0.21814148096743097,0.216882167931726
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,Sex,4177.0,0.4477375,0.366925,1.1851250000000002,0.0013,0.6650750000000001,1.095825,2.0439625,1.0,0.0,,,1.0,1.0,SVC,0.16544288081988814,0.15066671003547286,0.1649504129030927,0.1644537258509524,0.16310733971231925,0.15530521362282212,0.15831822300149107,0.15066671003547286
abalone,Sex,4177.0,0.4049,0.364675,1.1636125,0.0012,0.6653375,1.0962500000000002,3.4410624999999997,1.0,0.0,,,1.0,1.0,DecisionTree,0.21150744707123675,0.21070369082429558,0.20927766377424567,0.2088794048234066,0.20874326478978167,0.2128704377152436,0.2122446176916092,0.21072473780343867
abalone,Sex,4177.0,0.4049,0.364675,1.1636125,0.0012,0.6653375,1.0962500000000002,3.4410624999999997,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2208886698814575,0.2170144641667126,0.22000440186737932,0.21870632273229088,0.21892111202937303,0.22326328408640808,0.2216163566894122,0.2170144641667126
abalone,Sex,4177.0,0.4049,0.364675,1.1636125,0.0012,0.6653375,1.0962500000000002,3.4410624999999997,1.0,0.0,,,1.0,1.0,KNN,0.1924156779828714,0.19424345500934223,0.18889832343083496,0.19066689286582605,0.19039226135991008,0.19381275856532013,0.19400322102170228,0.19424345500934223
abalone,Sex,4177.0,0.4049,0.364675,1.1636125,0.0012,0.6653375,1.0962500000000002,3.4410624999999997,1.0,0.0,,,1.0,1.0,RandomForest,0.21948138565181036,0.21632036279186256,0.21743213060968233,0.21872939223770002,0.2193554353778684,0.22171034635776476,0.22177891233806546,0.21650135681760863
abalone,Sex,4177.0,0.4049,0.364675,1.1636125,0.0012,0.6653375,1.0962500000000002,3.4410624999999997,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
